,x,lx,dxx,qx,Dx,Nx,Cx,Mx
0,0.0,1000000.0,5368.0,0.005368,1000000.0,26565816.048511174,5186.473429951691,101639.07082329562
1,1.0,994632.0,726.0,0.0007299182009024443,960997.1014492754,25565816.04851117,677.7287684660087,96452.59739334392
2,2.0,993906.0,555.0,0.0005584029073171909,927821.8861583702,24604818.947061896,500.5782016457524,95774.86862487791
3,3.0,993351.0,473.0,0.00047616602791963767,895945.6886180356,23676997.06090352,412.19217370142474,95274.29042323216
4,4.0,992878.0,404.0,0.0004068979270363529,865235.8161529031,22781051.37228548,340.15715941084375,94862.09824953074
5,5.0,992474.0,369.0,0.0003717981528987157,835636.4768047469,21915815.556132577,300.1817377495608,94521.94109011989
6,6.0,992105.0,332.0,0.00033464199857877945,807078.0567209431,21080179.079327837,260.948998947028,94221.75935237034
7,7.0,991773.0,313.0,0.00031559641167888214,779524.6130502735,20273101.022606898,237.69581709568638,93960.8103534233
8,8.0,991460.0,313.0,0.00031569604421761847,752926.1815261638,19493576.409556624,229.6577942953492,93723.11453632763
9,9.0,991147.0,294.0,0.0002966260302457658,727235.2518928195,18740650.22803046,208.422131230673,93493.45674203229
10,10.0,990853.0,312.0,0.0003148802092742314,702434.3333207689,18013414.97613764,213.7030626835255,93285.03461080161
11,11.0,990541.0,313.0,0.0003159889393775725,678466.8122230836,17310980.64281687,207.13817236449736,93071.33154811809
12,12.0,990228.0,368.0,0.0003716315838372577,655316.3518982477,16632513.83059379,235.30072828057916,92864.19337575359
13,13.0,989860.0,438.0,0.000442486816317459,632920.5948255819,15977197.478695543,270.58842414118277,92628.892647473
14,14.0,989422.0,538.0,0.000543751806610324,611246.8944991265,15344276.88386996,321.127152820145,92358.30422333183
15,15.0,988884.0,708.0,0.000715958595750361,590255.5825081717,14733029.989370838,408.30778549406944,92037.17707051168
16,16.0,988176.0,897.0,0.000907733035410696,569886.9410146718,14142774.406862665,499.8117901528158,91628.86928501763
17,17.0,987279.0,1113.0,0.0011273409036351427,550115.5901563901,13572887.465847993,599.1959483195019,91129.0574948648
18,18.0,986166.0,1318.0,0.0013364889886692505,530913.4515457771,13022771.875691602,685.5651999297747,90529.86154654529
19,19.0,984848.0,1466.0,0.0014885545789807158,512274.29136603855,12491858.424145825,736.7615865768289,89844.29634661552
20,20.0,983382.0,1552.0,0.0015782269758852613,494214.2445641851,11979584.132779785,753.6060411960896,89107.53476003869
21,21.0,981830.0,1603.0,0.0016326655327296986,476748.07952806493,11485369.8882156,752.0484611019795,88353.92871884261
22,22.0,980227.0,1631.0,0.0016639003006446466,459874.11533412983,11008621.808687536,739.3088683701928,87601.88025774062
23,23.0,978596.0,1653.0,0.0016891546664813673,443583.5078795814,10548747.693353407,723.9431423275063,86862.57138937042
24,24.0,976943.0,1681.0,0.001720673570515373,427859.1562582343,10105164.185473824,711.310088962851,86138.62824704293
25,25.0,975262.0,1710.0,0.0017533749905153692,412679.1790494278,9677305.029215591,699.1124170547639,85427.31815808009
26,26.0,973552.0,1752.0,0.001799595707265765,398024.732075146,9264625.850166164,692.0614485295062,84728.20574102532
27,27.0,971800.0,1796.0,0.0018481168964807574,383872.8970781817,8866601.118091015,685.4511953538224,84036.14429249581
28,28.0,970004.0,1838.0,0.0018948375470616615,370206.2368028893,8482728.221012834,677.7591088410775,83350.69309714198
29,29.0,968166.0,1885.0,0.0019469801666243186,357009.42620796023,8112521.984209944,671.5848039853397,82672.9339883009
30,30.0,966281.0,1927.0,0.001994243910415293,344265.0588752033,7755512.558001984,663.3318813822575,82001.34918431556
31,31.0,964354.0,1964.0,0.0020365965195353573,331959.9134086693,7411247.49912678,653.206187703724,81338.0173029333
32,32.0,962390.0,2028.0,0.0012268317227758082,320081.0096660831,7079287.585718109,379.4063154748413,80684.81111522958
33,33.0,960362.0,2118.0,0.0022034742893633874,308605.33114688745,6759206.576052027,657.5882777466627,80033.12809198846
34,34.0,958244.0,2244.0,0.0023397146632065415,297511.8137965408,6450601.244905139,673.1480775608707,79375.53981424178
35,35.0,956000.0,2368.0,0.0018217880250564118,286777.8797451838,6153089.431108599,505.22855739093876,78702.39173668092
36,36.0,953632.0,2516.0,0.0026342677243094774,276393.75317563035,5866311.551363413,704.5595313140426,78016.0678638244
37,37.0,951116.0,2671.0,0.0022222354704343737,266342.5449862032,5589917.798187785,572.7458508579298,77311.50833251036
38,38.0,948445.0,2849.0,0.0027051536730033454,256613.12130947347,5323575.253201582,672.1362047031258,76588.83738478266
39,39.0,945596.0,3057.0,0.003225023428845693,247190.61868215146,5066962.131892108,772.114035270853,75844.07315923026
40,40.0,942539.0,3296.0,0.0034884099097647592,238059.4015996581,4819771.513209958,804.327396298898,75071.9591239594
41,41.0,939243.0,3584.0,0.0034781867549534863,229204.75627486838,4581712.111610299,772.1474673963021,74267.63172766051
42,42.0,935659.0,3877.0,0.004132063107838395,220608.83849656177,4352507.355335431,883.2034562358027,73422.59942724799
43,43.0,931782.0,4194.0,0.004488464771427237,212265.43277232634,4131898.5168388714,923.1091063370022,72539.39597101219
44,44.0,927588.0,4523.0,0.004462663520735288,204164.26555291552,3919633.084066545,882.7857294838603,71616.28686467519
45,45.0,923065.0,4866.0,0.005254575666469908,196298.30220788505,3715468.8185136295,999.8066340616471,70654.4291180525
46,46.0,918199.0,5200.0,0.005644908922403735,188660.38873587563,3519170.516305744,1032.302319976444,69654.62248399085
47,47.0,912999.0,5515.0,0.0060208472704498155,181248.26650695654,3330510.1275698687,1057.8125779766053,68622.32016401441
48,48.0,907484.0,5815.0,0.006386817949829096,174061.28549637753,3149261.861062912,1077.6372109326712,67564.50758603781
49,49.0,901669.0,6108.0,0.00622328098796654,167097.51785803118,2975200.5755665335,1008.0555083483149,66486.87037510514
50,50.0,895561.0,6395.0,0.0071132685314651365,160353.21914589946,2808103.0577085023,1106.3249566262768,65393.21236348653
51,51.0,889166.0,6704.0,0.00689592795784543,153824.32156115098,2647749.8385626036,1028.8820211552381,64286.88740686025
52,52.0,882462.0,7027.0,0.007926913863804973,147501.9711012662,2493925.5170014524,1134.8315844642214,63166.325598801785
53,53.0,875435.0,7359.0,0.008367762024996912,141379.15015588957,2346423.545900186,1148.2591481266809,62031.494014337564
54,54.0,868076.0,7711.0,0.008842001485515305,135449.95356287775,2205044.3957442967,1162.4959927742807,60883.23486621088
55,55.0,860365.0,8066.0,0.00933158052480161,129707.02435783224,2069594.4421814182,1174.8938466996262,59720.7388734366
56,56.0,852299.0,8425.0,0.009838719546763078,124145.90263429772,1939887.4178235857,1185.6867627632842,58545.84502673698
57,57.0,843874.0,8941.0,0.010545054458659546,118762.04525105095,1815741.5151892882,1215.7542792604854,57360.15826397369
58,58.0,834933.0,9531.0,0.011360702260089275,113530.18316136848,1696979.4699382368,1252.1542495848184,56144.4039847132
59,59.0,825402.0,10282.0,0.012396709912020961,108438.8439739596,1583449.2867768686,1305.1385328659144,54892.24973512838
60,60.0,815120.0,11026.0,0.013460596293443148,103466.6913936651,1475010.442802909,1352.248943407462,53587.111202262466
61,61.0,804094.0,11913.0,0.014741884919182284,98615.56882824966,1371543.751409244,1411.6253688307304,52234.862258855006
62,62.0,792181.0,12791.0,0.016065208011228183,93869.117460396,1272928.1825809942,1464.4092450227004,50823.23689002427
63,63.0,779390.0,13653.0,0.017427842518586173,89230.39023362078,1179059.065120598,1510.2390775439505,49358.827645001584
64,64.0,765737.0,14647.0,0.019028290129151644,84702.69834624424,1089828.6748869773,1565.4022186758154,47848.58856745763
65,65.0,751090.0,15611.0,0.020674038646274526,80272.95367141525,1005125.9765407332,1612.0096503412947,46283.18634878181
66,66.0,735479.0,16578.0,0.022418134363848603,75946.39969402127,924853.0228693179,1653.9740795529715,44671.176698440526
67,67.0,718901.0,17371.0,0.02402918361794865,71724.18987602314,848906.6231752967,1674.4841242898988,43017.20261888755
68,68.0,701530.0,18178.0,0.02576460349979438,67624.25005544261,777182.4332992736,1693.019512021495,41342.718494597655
69,69.0,683352.0,18989.0,0.02762584394347443,63644.42015507281,709558.183243831,1708.7463857822604,39649.69898257616
70,70.0,664363.0,19812.0,0.029642059277675027,59783.447000761524,645913.7630887582,1722.5168700576533,37940.9525967939
71,71.0,644551.0,20634.0,0.03181496971485084,56039.26767174092,586130.3160879967,1733.317976260404,36218.43572673624
72,72.0,623917.0,21427.0,0.03412330548290372,52410.90199643614,530091.0484162557,1739.065080303728,34485.11775047584
73,73.0,602490.0,22187.0,0.03658193053216925,48899.487573257764,477680.14641981956,1739.8535703046036,32746.052670172114
74,74.0,580303.0,22921.0,0.03922715495279521,45506.02814298793,428780.6588465619,1736.6301102443817,31006.199099867514
75,75.0,557382.0,23642.0,0.042113054562710715,42230.54683950241,383274.63070357393,1730.6834024279435,29269.568989623123
76,76.0,533740.0,24351.0,0.04528298801131435,39071.77731206714,341044.08386407146,1722.3042236927424,27538.88558719518
77,77.0,509389.0,25022.0,0.04873776773749923,36028.205256565365,301972.3065520043,1709.9158417341155,25816.581363502435
78,78.0,484367.0,25672.0,0.05256577404535571,33099.94430953677,265944.10129543894,1695.0092416836746,24106.66552176832
79,79.0,458695.0,26347.0,0.05694104874295788,30285.613279607893,232844.15698590217,1680.750263473947,22411.656280084648
80,80.0,432348.0,27049.0,0.0619878627199999,27580.711842427398,202558.5437062943,1667.1814931017016,20730.906016610705
81,81.0,405299.0,27722.0,0.06772851445092797,24980.849272528634,174977.83186386686,1650.8814063782752,19063.72452350899
82,82.0,377577.0,28260.0,0.0740588130331783,22485.20484727258,149996.98259133825,1626.009672439652,17412.84311713072
83,83.0,349317.0,28556.0,0.08081994684802367,20098.825928789895,127511.77774406566,1587.4790064031613,15786.833444691067
84,84.0,320761.0,28543.0,0.08788610417186833,17831.67648035036,107412.95181527575,1533.097887150646,14199.354438287903
85,85.0,292218.0,28248.0,0.09535845990061552,15695.575040724098,89581.2753349254,1465.944817091171,12666.256551137252
86,86.0,263970.0,27685.0,0.10330932535039303,13698.861985540807,73885.70029420129,1388.1426434591438,11200.31173404608
87,87.0,236285.0,26840.0,0.11169528892423958,11847.47280150782,60186.83830866052,1300.2645723828339,9812.169090586938
88,88.0,209445.0,25718.0,0.12048349884752152,10146.569052262403,48339.36550715271,1203.7770532315935,8511.904518204103
89,89.0,183727.0,24318.0,0.12953115593391984,8599.671306442226,38192.7964548903,1099.7560828084424,7308.127464972511
90,90.0,159409.0,22676.0,0.1387585024151356,7209.1050828362195,29593.125148448078,990.819664158604,6208.371382164067
91,91.0,136733.0,21960.0,0.15602728229719096,5974.4992564561,22384.020065611858,927.086281817587,5217.551718005461
92,92.0,114773.0,21943.0,0.18472930804452023,4845.376767898451,16409.520809155758,895.0421179449374,4290.465436187873
93,93.0,92830.0,21051.0,0.2173755537689349,3786.481329299943,11564.144041257301,829.6212177690456,3395.423318242933
94,94.0,71779.0,19222.0,0.25361978704837485,2828.8148491874204,7777.662711957357,731.9229122169415,2565.8021004738866
95,95.0,52557.0,16535.0,0.29229988362163667,2001.231531442401,4948.847862769937,608.3179324770847,1833.8791882569449
96,96.0,36022.0,13233.0,0.3305472045512038,1325.2391027329643,2947.6163313275374,470.3751638213926,1225.5612557798595
97,97.0,22789.0,9706.0,0.362155849074145,810.0490900268818,1622.3772285945734,333.3389071641228,755.1860919584664
98,98.0,13083.0,6405.0,0.3746793632432316,449.3172184657143,812.3281385676914,212.53208587409023,421.8471847943432
99,99.0,6678.0,3723.0,0.3482819073386167,221.59083051790415,363.010920101977,119.3597929922257,209.3150989202527
100,100.0,2955.0,1855.0,0.26626986254270296,94.7376277980197,141.4200895840729,57.460392053205936,89.9553059280269
101,101.0,1100.0,768.0,0.150246015143737,34.07354784826232,46.68246178605321,22.98505467498062,32.4949138748209
102,102.0,332.0,254.0,0.058476618255436326,9.93624759387184,12.60891393779088,7.34476133183006,9.509859199840266
103,103.0,78.0,65.0,0.01589391109534353,2.2554778893021465,2.6726663439190412,1.816004741789166,2.1650978680101987
104,104.0,13.0,11.0,0.0027331797161667943,0.3632009483578337,0.4171884546168948,0.2969312844248358,0.34909312622103045
105,105.0,2.0,2.0,0.0004983037201963118,0.05398750625906112,0.05398750625906112,0.052161841796194264,0.05216184179619432
106,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
